Notification Date,School,City,School District,Health Region,Exposure Dates,Extra Info
05/19/2021,Moscrop Secondary,Burnaby,41,Fraser Health Authority,May 14,Exposure 19
05/19/2021,Pacific Academy Primary School,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,May 6,Exposure 11
05/19/2021,Langley Fine Arts School,Langley,35,Fraser Health Authority,"""May 10, 12, and 13""",Exposure 10
05/19/2021,Chimney Hill Elementary,Surrey,36,Fraser Health Authority,May 17,Exposure 12
05/19/2021,Aspenwood Elementary,Port Moody,43,Fraser Health Authority,May 13 and 14,Exposure 5
05/19/2021,Queensborough Middle School,New Westminster,40,Fraser Health Authority,"""May 12, 13, and 14""",Exposure 8
05/19/2021,Abbotsford Dasmesh Punjabi,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,May 11,Exposure 20
05/19/2021,Highroad Academy,Chilliwack,Independent Schools in Fraser Health,Fraser Health Authority,May 13 and 14,Exposure 5
05/19/2021,Abbotsford Christian School,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,"""May 11, 12, and 13""",Exposure 25
05/19/2021,Immaculate Conception School (Delta),Delta,Independent Schools in Fraser Health,Fraser Health Authority,May 13 and 14,Exposure 7
05/19/2021,des Deux-rives,Mission,93,Fraser Health Authority,May 11 and 12,Exposure 2
05/19/2021,Khalsa Elementary School Old Yale Road,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,"""May 11, 12, 13, and 14""",Exposure 13
05/19/2021,Surrey Muslim School,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,"""May 10, 11, and 12""",Exposure 11
05/19/2021,Ecole Qayqayt Elementary,New Westminster,40,Fraser Health Authority,"""May 12, 13, and 14""",Exposure 7
05/19/2021,Ecole Montgomery Middle,Coquitlam,43,Fraser Health Authority,"""May 11, 12, 13, and 14""",Exposure 4
05/19/2021,Edwin S Richards Elementary,Mission,75,Fraser Health Authority,"""May 11, 12, and 13""",Exposure 4
05/19/2021,Ross Elementary,Abbotsford,34,Fraser Health Authority,May 14,Exposure 8
05/19/2021,Ecole Glenayre Elementary,Port Moody,43,Fraser Health Authority,May 12,Exposure 7
05/19/2021,W J Mouat Secondary,Abbotsford,34,Fraser Health Authority,May 14,Exposure 26
05/19/2021,Cariboo Hill Secondary,Burnaby,41,Fraser Health Authority,May 14,Exposure 13
05/19/2021,Aldergrove Community Secondary,Aldergrove,35,Fraser Health Authority,May 14,Exposure 18
05/19/2021,Rick Hansen Secondary,Abbotsford,34,Fraser Health Authority,May 13 and 14,Exposure 25
05/19/2021,Nechako Valley Secondary,Vanderhoof,91,Northern Health,May 11 and 12,Exposure 1
05/19/2021,Rutland Middle School,Kelowna,23,Interior Health Authority,"""May 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, and 14""",Exposure 6
05/18/2021,Elgin Park Secondary,Surrey,36,Fraser Health Authority,"""May 12, 13, and 14""",Exposure 15
05/18/2021,Quesnel Junior High School,Quesnel,28,Northern Health,May 4 and 5,Exposure 3
05/18/2021,Ecole Kilmer Elementary,Port Coquitlam,43,Fraser Health Authority,May 11,Exposure 4
05/18/2021,South Delta Secondary,Delta,37,Fraser Health Authority,"""May 12, 13, and 14""",Exposure 7
05/18/2021,Lord Tweedsmuir Secondary,Surrey,36,Fraser Health Authority,May 17,Exposure 38
05/18/2021,Beaver Creek Elementary,Surrey,36,Fraser Health Authority,May 10,Exposure 11
05/18/2021,Tamanawis Secondary,Surrey,36,Fraser Health Authority,May 12 and 14,Exposure 62
05/18/2021,Queen Elizabeth Secondary,Surrey,36,Fraser Health Authority,May 13 and 14,Exposure 53
05/18/2021,Hjorth Road Elementary,Surrey,36,Fraser Health Authority,May 10 and 11,Exposure 9
05/18/2021,Christine Morrison Elementary,Mission,75,Fraser Health Authority,May 13,Exposure 3
05/18/2021,des Pionniers-de-Maillardville,Port Coquitlam,93,Fraser Health Authority,"""May 12, 13, and 14""",Exposure 14
05/18/2021,Eagle Ridge Elementary,Coquitlam,43,Fraser Health Authority,May 13,Exposure 5
05/18/2021,Brookswood Secondary,Langley,35,Fraser Health Authority,May 11 and 13,Exposure 18
05/18/2021,Walton Elementary,Coquitlam,43,Fraser Health Authority,May 13,Exposure 7
05/18/2021,Byrne Creek Community Secondary,Burnaby,41,Fraser Health Authority,"""May 12, 13, and 14""",Exposure 25
05/18/2021,Abbotsford Senior Secondary School,Abbotsford,34,Fraser Health Authority,"""May 10, 11, 12, 13, and 14""",Exposure 27
05/18/2021,Rutland Senior Secondary,Kelowna,23,Interior Health Authority,May 13 and 14,Exposure 22
05/18/2021,Brantford Elementary,Burnaby,41,Fraser Health Authority,"""May 10, 11, 12, 13, and 14""",Exposure 4
05/18/2021,Southpointe Academy,Delta,Independent Schools in Fraser Health,Fraser Health Authority,May 12 and 13,Exposure 14
05/18/2021,W J Mouat Secondary,Abbotsford,34,Fraser Health Authority,May 13,Exposure 25
05/18/2021,Ecole Heritage Park Middle School,Mission,75,Fraser Health Authority,May 13 and 14,Exposure 4
05/18/2021,Cindrich Elementary,Surrey,36,Fraser Health Authority,"""May 10, 12, 13, 14""","""Documentation on file shows two exposures, different from Exposure 16."""
05/18/2021,Burnaby Youth HUB,Burnaby,41,Fraser Health Authority,May 11 and 13,Exposure 2
05/18/2021,Connaught Heights Elementary,New Westminster,40,Fraser Health Authority,May 11 and 12,Exposure 1
05/18/2021,Richardson Elementary,Delta,37,Fraser Health Authority,May 12 and 13,Exposure 7
05/18/2021,Chalmers Elementary,Delta,37,Fraser Health Authority,May 11,Exposure 16
05/18/2021,Oaklands Elementary,Victoria,61,Vancouver Island Health Authority,May 10 and 11,Exposure 2
05/18/2021,Rose-des-vents,Vancouver,93,Vancouver Coastal Health,Full class isolating.,Exposure 2
05/18/2021,Cindrich Elementary,Surrey,36,Fraser Health Authority,"""May 10, 12, 13, 14""",Exposure 15
05/18/2021,David Brankin Elementary,Surrey,36,Fraser Health Authority,May 11,Exposure 17
05/18/2021,St Patrick's (Maple Ridge),Maple Ridge,Independent Schools in Fraser Health,Fraser Health Authority,May 12,Exposure 1
05/18/2021,Martha Jane Norris Elementary,Surrey,36,Fraser Health Authority,May 13,Expousre 12
05/18/2021,Princess Margaret Secondary School (Surrey),Surrey,36,Fraser Health Authority,"""May 12, 13, 14""",Exposure 50
05/18/2021,James Ardiel Elementary,Surrey,36,Fraser Health Authority,"""May 13, 14""",Exposure 10
05/18/2021,Simon Cunningham Elementary,Surrey,36,Fraser Health Authority,May 14,Exposure 14
05/18/2021,Green Timbers Elementary,Surrey,36,Fraser Health Authority,"""May 11, 12, 13""",Exposure 17
05/18/2021,North Ridge Elementary (Surrey),Surrey,36,Fraser Health Authority,May 10,Exposure 17
05/18/2021,North Ridge Elementary (Surrey),Surrey,36,Fraser Health Authority,May 13,Exposure 16
05/18/2021,Semiahmoo Trail Elementary,Surrey,36,Fraser Health Authority,"""May 10, 11, 12, and 13""",classes have been asked to self-isolate.
05/18/2021,Rick Hansen Secondary,Abbotsford,34,Fraser Health Authority,"""May 12, 13, and 14""",Exposure 24
05/18/2021,Surrey Christian School (Fleetwood Campus),Surrey,Independent Schools in Fraser Health,Fraser Health Authority,"""May 10, 11""",Exposure 5
05/18/2021,Mission Central Elementary,Mission,75,Fraser Health Authority,May 12,Exposure 7
05/18/2021,David Brankin Elementary,Surrey,36,Fraser Health Authority,"""May 12, 13, 14""",Exposure 16
05/18/2021,Mission Senior Secondary,Mission,75,Fraser Health Authority,May 11,Exposure 14
05/18/2021,Hollyburn Elementary,West Vancouver,45,Vancouver Coastal Health,May 10,Exposure 7
05/18/2021,David Thompson Secondary (Vancouver),Vancouver,39,Vancouver Coastal Health,May 11 and 12,Exposure 17
05/18/2021,La Verendrye,Chilliwack,93,Fraser Health Authority,"""May 12, 13, 14""",Exposure 3
05/18/2021,Lavington Elementary,Vernon,22,Interior Health Authority,May 14,Exposure 1
05/18/2021,Highland Secondary,Comox,71,Vancouver Island Health Authority,"""May 3, 4, 5, 6, 7, 10, 11, 12, 13, 14 and 17""",Documentation on file showing that there are additional cases associated with the Exposure 2 notification. We have listed the additional cases as Exposure 3 and 4. (Documentation on file)
05/18/2021,Highland Secondary,Comox,71,Vancouver Island Health Authority,"""May 3, 4, 5, 6, 7, 10, 11, 12, 13, 14 and 17""",Documentation on file showing that there are additional cases associated with the Exposure 2 notification. We have listed the additional cases as Exposure 3 and 4. (Documentation on file)
05/18/2021,Jackson Elementary,Abbotsford,34,Fraser Health Authority,"""May 7, 13, and 14""",One full class has been asked to self-isolate. (Documentation on file).
05/17/2021,New Westminster Secondary,New Westminster,40,Fraser Health Authority,May 12,Exposure 32
05/17/2021,Secondaire Jules-Verne,Vancouver,93,Vancouver Coastal Health,"""May 7, 13, 14""",Exposure 8
05/17/2021,Okanagan Mission Secondary,Kelowna,23,Interior Health Authority,"""May 10, 11, 13""",Exposure 16
05/17/2021,Mount Pleasant Elementary,Vancouver,39,Vancouver Coastal Health,"""May 10, 11, 12, 13""",Exposure 5
05/17/2021,Simonds Elementary,Langley,35,Fraser Health Authority,"""May 12, 13, and 14""",Exposure 10
05/17/2021,Moscrop Secondary,Burnaby,41,Fraser Health Authority,"""May 12, 13, and 14""",Exposure 18
05/17/2021,Semiahmoo Secondary,Surrey,36,Fraser Health Authority,"""May 11, 12, and 13""",Exposure 29
05/17/2021,Margaret Ma Murray Community School,,60,Northern Health,"""May 5, 6, 7, 10, 11, 12""",Exposure 7
05/17/2021,John Oliver Secondary,Vancouver,39,Vancouver Coastal Health,May 12,Exposure 29
05/17/2021,Chalmers Elementary,Delta,37,Fraser Health Authority,"""May 10, 13""",Exposure 15
05/17/2021,Anne Roberts Young Elementary,Fort St. John,60,Northern Health,May 10,Exposure 3
05/17/2021,North Peace Secondary,,60,Northern Health,"""May 10, 11, 12""",Exposure 23
05/17/2021,Douglas Park Community,Langley,35,Fraser Health Authority,May 11,Exposure 8
05/17/2021,Fraserview Learning Centre,Mission,75,Fraser Health Authority,"""May 10, 14""",Exposure 1
05/17/2021,Heritage Woods Secondary,Port Moody,43,Fraser Health Authority,"""May 11, 12, 13""",Exposure 23
05/17/2021,Hugh Boyd Secondary,Richmond,38,Vancouver Coastal Health,"""May 10, 11, 12, 13, and 14""",Exposure 7
05/17/2021,Hugh Boyd Secondary,Richmond,38,Vancouver Coastal Health,May 6 and 7,Exposure 6
05/17/2021,H.J. Cambie Secondary School,Richmond,38,Vancouver Coastal Health,May 12,Exposure 8
05/17/2021,James Gilmore Elementary,Richmond,38,Vancouver Coastal Health,May 11,Exposure 6
05/17/2021,Lord Kelvin Elementary,New Westminster,40,Fraser Health Authority,May 10,Exposure 4
05/17/2021,College Heights Secondary,Prince George,57,Northern Health,"""May 10, 11""",Exposure 8
05/17/2021,Abbotsford Traditional Senior Secondary,Abbotsford,34,Fraser Health Authority,May 13,Exposure 23
05/17/2021,Rose-des-vents,Vancouver,93,Vancouver Coastal Health,"""May 12, 13, and 14""",Exposure 1
05/17/2021,Guildford Park Secondary,Surrey,36,Fraser Health Authority,May 14,Exposure 38
05/17/2021,Delview Secondary,Delta,37,Fraser Health Authority,May 12,Exposure 23
05/17/2021,Champlain Heights Community Elementary,Vancouver,39,Vancouver Coastal Health,May 14,Exposure 4
05/17/2021,Prince Charles Elementary (Surrey),Surrey,36,Fraser Health Authority,"""May 11, 12, and 13""",One class has been asked to self-isolate (documentation on file).
05/17/2021,Maple Ridge Christian School,Maple Ridge,Independent Schools in Fraser Health,Fraser Health Authority,"""May 10, 11""",Exposure 4
05/17/2021,Admiral Seymour Elementary,Vancouver,39,Vancouver Coastal Health,May 12 and 13,Exposure 9
05/17/2021,Windermere Community Secondary,Vancouver,39,Vancouver Coastal Health,May 10 and 11,Exposure 11
05/17/2021,St Patrick Regional Secondary,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,May 11,Exposure 12
05/17/2021,Adams Road Elementary,Surrey,36,Fraser Health Authority,May 7,Exposure 10
05/17/2021,Our Lady of Fatima,Coquitlam,Independent Schools in Fraser Health,Fraser Health Authority,May 7,Exposure 6
05/17/2021,Ecole Irvine Elementary,Port Coquitlam,43,Fraser Health Authority,May 11 and 12,Exposure 5
05/17/2021,Henry Bose Elementary,Surrey,36,Fraser Health Authority,May 10,Exposure 8
05/17/2021,Rutland Senior Secondary,Kelowna,23,Interior Health Authority,"""May 12, 13, and 14""",Letter is dated differently than the previous exposure with the same dates.
05/17/2021,Highland Park Elementary,Pitt Meadows,42,Fraser Health Authority,"""May 7, 10, and 11""",Exposure 4
05/17/2021,St Thomas More Collegiate,Burnaby,Independent Schools in Fraser Health,Fraser Health Authority,May 10,Exposure 10
05/17/2021,St. James and St. Anns Elementary,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,May 6,Exposure 5
05/17/2021,St Catherines School,Langley,35,Fraser Health Authority,May 12 and 13,Exposure 3
05/17/2021,Armstrong Elementary (Burnaby),Burnaby,41,Fraser Health Authority,May 12,Exposure 11
05/17/2021,Janice Churchill Elementary,Surrey,36,Fraser Health Authority,"""May 13, 14""",Exposure 5
05/17/2021,Hollyburn StrongStart Centre,West Vancouver,45,Vancouver Coastal Health,May 10,Exposure 1
05/17/2021,Our Lady of Fatima,Coquitlam,Independent Schools in Fraser Health,Fraser Health Authority,"""May 12, 13, and 14""",Exposure 7
05/17/2021,Ecole Glenbrook Middle School,New Westminster,40,Fraser Health Authority,"""May 10, 11, and 12""",Exposure 17
05/17/2021,Promontory Heights Community Elementary,Chilliwack,33,Fraser Health Authority,"""May 4, 5, 6, 11, and 12""",Exposure 13
05/17/2021,Southpointe Academy,Delta,Independent Schools in Fraser Health,Fraser Health Authority,May 13,Exposure 13
05/17/2021,Highland Secondary,Comox,71,Vancouver Island Health Authority,"""May 3, 4, 5, 6, 7, 10, 11, 12, 13, and 14""",Exposure 2  - This is listed as a Cluster on the BCCDC webpage
05/16/2021,Simonds Elementary,Langley,35,Fraser Health Authority,"""April 27, 28, 29, 30, May 1, 2, 3, 4, and 5""",Exposure 9
05/16/2021,West Sechelt Elementary,Sechelt,46,Vancouver Coastal Health,May 11,Exposure 1
05/16/2021,Bonaccord Elementary,Surrey,36,Fraser Health Authority,May 10 and 11,Exposure 14
05/16/2021,Rutland Senior Secondary,Kelowna,23,Interior Health Authority,"""May 12, 13, and 14""",Exposure 20
05/16/2021,Tamanawis Secondary,Surrey,36,Fraser Health Authority,May 11 and 12,Exposure 61
05/16/2021,Robert Bateman Secondary,Abbotsford,34,Fraser Health Authority,"""May 11, 12, and 13""",Exposure 16
05/16/2021,Magee Secondary,Vancouver,39,Vancouver Coastal Health,"""May 11, 12, and 13""",Exposure 13
05/16/2021,Guildford Park Secondary,Surrey,36,Fraser Health Authority,"""May 11, 12, and 13""",Exposure 37
05/16/2021,Christine Morrison Elementary,Mission,75,Fraser Health Authority,"""May 10, 11, and 12""",Exposure 2
05/16/2021,Aldergrove Community Secondary,Aldergrove,35,Fraser Health Authority,"""May 11, 12, and 13""",Exposure 17
05/16/2021,Gleneagle Secondary,Coquitlam,43,Fraser Health Authority,May 12,Exposure 18
05/16/2021,Second Street Community Elementary,Burnaby,41,Fraser Health Authority,May 11 and 12,Exposure 6
05/16/2021,Rutland Middle School,Kelowna,23,Interior Health Authority,"""May 11, 12, 13, and 14""",Exposure 5
05/16/2021,Sa-hali Secondary,Kamloops,73,Interior Health Authority,"""May 10, 11, 12, 13""",Exposure 15
05/16/2021,Hyland Elementary,Surrey,36,Fraser Health Authority,"""May 11, 12, 13""",Exposure 7
05/16/2021,Kwantlen Park Secondary,Surrey,36,Fraser Health Authority,"""May 10, 11, 12""",Exposure 28
05/16/2021,Lena Shaw Elementary,Surrey,36,Fraser Health Authority,"""May 10,11""",Exposure 24
05/16/2021,Our Lady of Sorrows,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,"""May 10, 11""",Exposure 5
05/16/2021,Our Lady of Sorrows,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,"""May 10, 11, 12""",Expsoure 6
05/16/2021,Lord Tweedsmuir Secondary,Surrey,36,Fraser Health Authority,"""May 5, 6""",Exposure 37
05/16/2021,King George Secondary,Vancouver,39,Vancouver Coastal Health,"""May 10, 11""",Exposure 13
05/16/2021,Abbotsford Traditional Senior Secondary,Abbotsford,34,Fraser Health Authority,"""May 11, 12""",Exposure 22
05/16/2021,Abbotsford Christian School,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,"""May 3, 4""",this occurred in the middle school
05/16/2021,Pearson Road Elementary,Kelowna,23,Fraser Health Authority,May 13,Exposure 9
05/16/2021,Brooke Elementary,Delta,37,Fraser Health Authority,"""May 11, 12""",Exposure 7
05/16/2021,Armstrong Elementary (Burnaby),Burnaby,41,Fraser Health Authority,May 10,Exposure 10
05/16/2021,Gibson Elementary (Delta),Delta,37,Fraser Health Authority,May 11,Exposure 8
05/16/2021,Seaquam Secondary,Delta,37,Fraser Health Authority,"""May 10, 13""",Exposure 17
05/16/2021,Delview Secondary,Delta,37,Fraser Health Authority,"""May 10, 11, 12""",Exposure 22
05/16/2021,Glenwood Elementary (Maple Ridge),Maple Ridge,42,Fraser Health Authority,May 10 and 11,Exposure 3
05/16/2021,Cougar Creek Elementary,Surrey,36,Fraser Health Authority,May 6 and 10,Exposure 20
05/16/2021,Chimney Hill Elementary,Surrey,36,Fraser Health Authority,May 10 and 11,Exposure 11
05/16/2021,G T Cunningham Elementary,Vancouver,39,Vancouver Coastal Health,"""May 10, 11, 12, 13""",Exposure 7
05/16/2021,Johnston Heights Secondary,Surrey,36,Fraser Health Authority,"""May 10, 11, 12""",Exposure 32
05/16/2021,University Highlands Elementary,Burnaby,41,Fraser Health Authority,"""May 10, 11, 12""",Exposure 2
05/16/2021,Hazelgrove Elementary,Surrey,36,Fraser Health Authority,May 11,Exposure 10
05/16/2021,Highroad Academy,Chilliwack,Independent Schools in Fraser Health,Fraser Health Authority,"""May 10, 11, and 12""",Exposure 4
05/16/2021,John Calvin School,Chilliwack,Independent Schools in Fraser Health,Fraser Health Authority,May 10 and 11,Exposure 7
05/16/2021,Khalsa Secondary School (Surrey),Surrey,Independent Schools in Fraser Health,Fraser Health Authority,May 11,Exposure 18
05/16/2021,Khalsa Elementary School Newton,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,May 10 and 11,Exposure 28
05/16/2021,Gabrielle-Roy,Surrey,93,Fraser Health Authority,"""May 10, 11, and 12""",Exposure 4
05/16/2021,Khalsa School of the Fraser Valley,Langley,Independent Schools in Fraser Health,Fraser Health Authority,May 10,Exposure 8
05/16/2021,Kitsilano Secondary,Vancouver,39,Vancouver Coastal Health,"""May 12, 13, 14""",Exposure 21
05/16/2021,Kirkbride Elementary,Surrey,36,Fraser Health Authority,"""May 7, 8, 9, 10, 11, 12""",Exposure 8
05/16/2021,Strawberry Hill Elementary,Surrey,36,Fraser Health Authority,May 11,Exposure 12
05/15/2021,Southpointe Academy,Delta,Independent Schools in Fraser Health,Fraser Health Authority,May 10 and 11,Exposure 12
05/15/2021,Ecole Dr Charles Best Secondary,Coquitlam,43,Fraser Health Authority,May 10 and 11,Exposure 14
05/15/2021,Sir Charles Tupper Secondary,Vancouver,39,Vancouver Coastal Health,"""May 10, 11, 12, and 13""",Exposure 23
05/15/2021,Frank Hurt Secondary,Surrey,36,Fraser Health Authority,May 7 and 10,Exposure 52
05/15/2021,G T Cunningham Elementary,Vancouver,39,Vancouver Coastal Health,"""May 10, 11, and 12""",Exposure 5
05/15/2021,North Surrey Secondary,Surrey,36,Fraser Health Authority,May 11 and 12,Exposure 29
05/15/2021,Pearson Road Elementary,Kelowna,23,Interior Health Authority,"""May 10, 11, and 12""",Exposure 8
05/15/2021,John Norquay Elementary,Vancouver,39,Vancouver Coastal Health,May 10 and 11,Exposure 8
05/15/2021,Rutland Senior Secondary,Kelowna,23,Interior Health Authority,"""May 11, 12, and 13""",Exposure 19
05/15/2021,W J Mouat Secondary,Abbotsford,34,Fraser Health Authority,May 12,Exposure 24
05/15/2021,Ross Elementary,Abbotsford,34,Fraser Health Authority,May 10 and 11,Exposure 7
05/15/2021,Abbotsford Traditional Middle School,Abbotsford,34,Fraser Health Authority,May 10 and 11,Exposure 13
05/15/2021,James Ardiel Elementary,Surrey,36,Fraser Health Authority,May 11 and 12,Exposure 9
05/15/2021,Sa-hali Secondary,Kamloops,73,Interior Health Authority,"""May 10, 11, 12, and 13""",Exposure 14
05/15/2021,G T Cunningham Elementary,Vancouver,39,Vancouver Coastal Health,May 12,Exposure 6
05/15/2021,Brookswood Secondary,Langley,35,Fraser Health Authority,May 12,Exposure 17
05/15/2021,Pinewood Elementary (Delta),Delta,37,Fraser Health Authority,"""May 11, 12, and 13""",Exposure 4
05/15/2021,Windsor Elementary,Burnaby,41,Fraser Health Authority,May 10,Exposure 6
05/15/2021,George Elliot Secondary,,23,Interior Health Authority,May 6 and 7 (Dates on the BCCDC webpage),Exposure 8
05/14/2021,Parkcrest Elementary (Burnaby),Burnaby,41,Fraser Health Authority,"""May 7, 10""",Exposure 3
05/14/2021,Lord Tweedsmuir Elementary,New Westminster,40,Fraser Health Authority,"""May 3, 5, 6""",Exposure 7
05/14/2021,Ecole Riverdale Elementary,Surrey,36,Fraser Health Authority,May 12,Exposure 12
05/14/2021,Richardson Elementary,Delta,37,Fraser Health Authority,"""May 3, 4, 5, 6, and 7""",Exposure 6
05/14/2021,Princess Margaret Secondary (Penticton),Penticton,67,Interior Health Authority,"""May 10, 11, and 12""",Exposure 3
05/14/2021,Walter Moberly Elementary,Vancouver,39,Vancouver Coastal Health,"""April 29, 30, May 3, 4, 5, 6, 7, 10, and 11""",Exposure 8
05/14/2021,Correlieu Secondary School,Quesnel,28,Northern Health,May 4,Exposure 1
05/14/2021,Centennial Secondary School,Coquitlam,43,Fraser Health Authority,May 11,Exposure 22
05/14/2021,Burnaby South Secondary,Burnaby,41,Fraser Health Authority,May 5 and 6,Exposure 16
05/14/2021,John Norquay Elementary,Vancouver,39,Vancouver Coastal Health,May 6 and 7,Exposure 7
05/14/2021,Abbotsford Dasmesh Punjabi,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,May 7 and 10,Exposure 19
05/14/2021,John Calvin School,Chilliwack,Independent Schools in Fraser Health,Fraser Health Authority,"""May 3, 4, and 5""",Exposure 6
05/14/2021,Khalsa Secondary School (Surrey),Surrey,Independent Schools in Fraser Health,Fraser Health Authority,May 10,Exposure 17
05/14/2021,Adams Road Elementary,Surrey,36,Fraser Health Authority,May 6,Exposure 9
05/14/2021,Surrey Muslim School,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,May 6 and 7,Exposure 10
05/14/2021,St Thomas More Collegiate,Burnaby,Independent Schools in Fraser Health,Fraser Health Authority,May 5,Exposure 9
05/14/2021,Cariboo Hill Secondary,Burnaby,41,Fraser Health Authority,"""May 6, 7""",Exposure 12
05/14/2021,Woodward Hill Elementary,Surrey,36,Fraser Health Authority,May 6,Exposure 22
05/14/2021,Aldergrove Community Secondary,Aldergrove,35,Fraser Health Authority,May 7,Exposure 16
05/14/2021,Kelowna Secondary School,Kelowna,23,Interior Health Authority,"""May 6, 7, 10 and 11""",Exposure 35
05/14/2021,Queen Elizabeth Secondary,Surrey,36,Fraser Health Authority,May 10 and 11,Exposure 52
05/14/2021,North Delta Secondary,Delta,37,Fraser Health Authority,May 11,Exposure 38
